k,silhouette_score,inertia
2,0.35847732424736023,217573.38580137468
3,0.35970595479011536,137930.48627583435
4,0.3687482178211212,102437.93201989577
5,0.40002599358558655,74228.24335721855
6,0.41743993759155273,54519.43834029507
7,0.4228978753089905,44129.10229005953
8,0.43725651502609253,36755.45704837078
9,0.4467465877532959,31784.719548893
10,0.4488944113254547,27073.509600586025
11,0.45253053307533264,23270.646725146085
12,0.44518736004829407,20916.76052169002
13,0.46057072281837463,18417.058609168424
14,0.46810227632522583,16767.854604327706
15,0.4626687169075012,15383.851534754675
16,0.47291484475135803,13900.752175781166
17,0.48088160157203674,12345.26252625119
18,0.4828573167324066,11516.122191227118
19,0.4781052768230438,10999.574511900526
