k,silhouette_score,inertia
2,0.586622416973114,236300.8198924139
3,0.5276574492454529,102334.41894447956
4,0.5280457139015198,59534.66200099538
5,0.5172873139381409,44374.377516771725
6,0.5429180860519409,31196.666033192338
7,0.5234538316726685,25728.010760412875
8,0.5352950096130371,20949.13305064664
9,0.5532281994819641,16825.059358991544
10,0.5569738745689392,13782.892974960218
11,0.5728768110275269,11484.117571251736
12,0.5870611667633057,9799.694112012388
13,0.5704692602157593,8395.024362724282
14,0.5641143918037415,7341.701819833681
15,0.5616024732589722,6541.883577158187
16,0.5743146538734436,5967.949124140352
17,0.5681657195091248,5498.40588526152
18,0.55735844373703,5091.878637453145
19,0.5200778841972351,4847.065965580525
