k,silhouette_score,inertia
2,0.3828238248825073,212163.3602703202
3,0.3809845745563507,143507.83037945602
4,0.3972272276878357,99887.00916146595
5,0.374740868806839,80238.44313888828
6,0.37424740195274353,64957.56647598923
7,0.3890024423599243,53418.0125064952
8,0.39204567670822144,45124.42671119269
9,0.3881884813308716,39911.9177410829
10,0.39072006940841675,35630.39238671043
11,0.4039866626262665,31340.19596677425
12,0.39978694915771484,28713.189842664302
13,0.3965732753276825,26134.76516806118
14,0.3998904526233673,24134.66963456755
15,0.4083351790904999,21735.118865782988
16,0.407314658164978,20444.06858689726
17,0.4042249023914337,19221.334006648347
18,0.40958288311958313,17633.958656063274
19,0.40493831038475037,16570.566926498836
